Antonio V. Alvillar
Edgardo C. Gutierrez

Returned to ready queue: PID: 0x282475249, State: running, Priority: 0xF, PC: 0x0

Head: PID: 0x984943658, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x3272

Returned to ready queue: PID: 0x282475249, State: running, Priority: 0xF, PC: 0x3165

Head: PID: 0x74243042, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1137522503, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x984943658, State: ready, Priority: 0xF, PC: 0x3729
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x6884
 -> PID: 0x1474833169, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x3933
 -> PID: 0x1404280278, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x3335

Returned to ready queue: PID: 0x1474833169, State: running, Priority: 0xF, PC: 0x0

Head: PID: 0x1998097157, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x3933
 -> PID: 0x1404280278, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x3335
 -> PID: 0x1636807826, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x6798
 -> PID: 0x1624379149, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x74243042, State: ready, Priority: 0xF, PC: 0x3672
 -> PID: 0x1617819336, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1137522503, State: ready, Priority: 0xF, PC: 0x3745
 -> PID: 0x1899894091, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x937186357, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x984943658, State: ready, Priority: 0xF, PC: 0x6882
 -> PID: 0x590357944, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x10787

Returned to ready queue: PID: 0x1636807826, State: running, Priority: 0xF, PC: 0x0

Head: PID: 0x101929267, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x6798
 -> PID: 0x1624379149, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x74243042, State: ready, Priority: 0xF, PC: 0x3672
 -> PID: 0x1617819336, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1137522503, State: ready, Priority: 0xF, PC: 0x3745
 -> PID: 0x1899894091, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x937186357, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x984943658, State: ready, Priority: 0xF, PC: 0x6882
 -> PID: 0x590357944, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x10787
 -> PID: 0x1083454666, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x685118024, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x3853
 -> PID: 0x194847408, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x3013
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x7747
 -> PID: 0x107554536, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x3669
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x6429

Returned to ready queue: PID: 0x74243042, State: running, Priority: 0xF, PC: 0x3672

Head: PID: 0x1617819336, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1137522503, State: ready, Priority: 0xF, PC: 0x3745
 -> PID: 0x1899894091, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x937186357, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x984943658, State: ready, Priority: 0xF, PC: 0x6882
 -> PID: 0x590357944, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x10787
 -> PID: 0x1083454666, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x685118024, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x3853
 -> PID: 0x194847408, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x3013
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x7747
 -> PID: 0x107554536, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x3669
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x6429
 -> PID: 0x1478446501, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x3404
 -> PID: 0x1908194298, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x657821123, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x3882
 -> PID: 0x1816731566, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x10135
 -> PID: 0x892053144, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1624379149, State: ready, Priority: 0xF, PC: 0x3897
 -> PID: 0x382955828, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1227619358, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: ready, Priority: 0xF, PC: 0x3397

Returned to ready queue: PID: 0x984943658, State: running, Priority: 0xF, PC: 0x6882

Head: PID: 0x590357944, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x10787
 -> PID: 0x1083454666, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x685118024, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x3853
 -> PID: 0x194847408, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x3013
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x7747
 -> PID: 0x107554536, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x3669
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x6429
 -> PID: 0x1478446501, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x3404
